z_true z_phot COR_val
0.075503 0.056099 0.019403999999999998
0.075539 0.094095 -0.018556000000000003
0.075571 0.083395 -0.007823999999999998
0.075611 0.077252 -0.0016410000000000036
0.075626 0.102002 -0.026375999999999997
0.07594 0.078508 -0.002568000000000001
0.075968 0.056679 0.019288999999999994
0.076003 0.107815 -0.03181199999999999
0.076064 0.166868 -0.09080399999999998
0.076506 0.082168 -0.005662
0.076602 0.078666 -0.0020639999999999964
0.07667 0.029777 0.046893000000000004
0.076688 0.084053 -0.0073649999999999965
0.076705 0.080237 -0.0035320000000000074
0.076787 0.077333 -0.0005460000000000048
0.07681 0.094958 -0.018147999999999997
0.076828 0.077602 -0.0007740000000000108
0.076866 0.078527 -0.0016609999999999958
0.076914 0.05708 0.019833999999999997
0.076973 0.077014 -4.099999999999937e-05
