z_true z_phot
0.093769 0.079469
0.093819 0.083491
0.093833 0.079253
0.093846 0.094095
0.093977 0.08017
0.094267 0.10731
0.094314 0.08086
0.094347 0.096558
0.094362 0.063407
0.094411 0.089862
0.094414 0.160462
0.09443 0.115847
0.094449 0.078726
0.094552 2.503872
0.094584 0.023933
0.094598 0.091221
0.094743 0.083642
0.094764 0.083556
0.094789 0.095538
0.094861 0.077722
0.094877 2.888418
0.094906 0.094494
0.094954 0.077868
0.094958 0.107813
0.094974 0.112786
0.095045 0.075926
0.095072 0.080377
0.095164 0.083392
0.095166 0.084361
0.095168 0.109733
0.095377 0.077153
0.095381 0.096613
0.095384 0.081837
0.095401 0.050598
0.095507 0.106074
0.095548 0.092731
0.095637 0.104103
0.095652 0.051258
0.095709 0.106239
0.095746 0.079344
0.095767 0.098572
0.095782 0.097067
0.095821 0.106203
0.095859 0.093938
0.095863 0.080061
0.095912 0.149236
0.096033 0.07885
0.096084 0.122821
0.096206 0.079865
0.096222 0.198213
0.096297 0.078384
0.09632 0.095502
0.096383 0.133298
0.096397 0.081266
0.096442 0.105388
0.09645 0.08584
0.096451 0.089856
0.096454 0.072544
0.096488 0.131712
0.09655 0.078028
0.096601 0.094173
0.096609 0.09044
0.096687 0.100038
0.096696 0.115177
0.096717 0.098436
0.096734 0.073605
0.096838 0.096868
0.096858 0.108459
0.096914 0.123795
0.096996 0.117063
0.097076 0.096117
0.097093 0.092114
0.097099 0.562819
0.097132 0.103282
0.097153 0.079421
0.097199 0.077145
0.097221 0.076984
0.097244 0.111143
0.097285 0.078836
0.097335 0.263842
0.097347 0.10817
0.097357 0.132643
0.097458 0.093746
0.097577 0.080457
0.097606 0.106292
0.097617 0.079889
0.097656 0.094745
0.097688 2.335847
0.097691 0.080287
0.097738 0.11209
0.097768 0.098197
0.097792 2.428819
0.097821 0.097776
0.097937 0.128299
0.098148 0.090345
0.098211 0.099099
0.098634 0.076135
0.09877 0.13226
0.099082 0.114667
0.09919 0.078701
0.099379 0.116088
0.099382 0.108092
0.099584 0.080713
0.09985 0.100321
0.099876 2.377647
0.099896 0.055492
0.099958 0.096187
0.100203 0.097358
0.100355 0.093892
0.100357 0.098028
0.100446 0.257296
0.101092 2.521475
0.101092 2.441246
0.101168 0.129225
0.10158 0.106217
0.101643 0.111684
0.101693 0.054037
0.101945 0.095548
0.101978 2.514678
0.102133 0.080751
0.102249 0.132696
0.102262 2.59462
0.102434 0.112075
0.102942 0.098324
0.102985 0.057858
0.103031 0.079439
0.103077 2.477945
0.103097 0.084917
0.103243 0.090525
0.10325 0.094737
0.103637 0.097691
0.103672 2.355458
0.103816 0.054712
0.104042 0.12607
0.10405 0.077904
0.104076 0.117827
0.104398 0.097027
0.105142 0.085232
0.105421 0.113808
0.105473 0.081169
0.105482 2.348594
0.105504 0.086297
0.105592 2.528568
0.105602 0.081974
0.105679 0.116644
0.105777 0.115847
0.105869 0.093416
0.105874 0.079573
0.106202 0.108092
0.106217 0.097359
0.10638 0.023076
0.1066 0.093455
0.106768 2.505007
0.106927 0.084461
0.107067 0.132325
0.107268 0.115546
0.107363 0.104569
0.107387 0.097763
0.10747 0.115847
0.107708 0.082957
0.10807 2.416548
0.108092 0.109203
0.108241 0.114368
0.108305 2.481155
0.108334 0.104441
0.108721 2.449798
0.108755 0.034849
0.108857 2.424985
0.109047 0.081437
0.109084 0.103282
0.10909 0.1176
0.109187 0.096057
0.109754 0.13222
0.109807 0.081804
0.11067 0.12083
0.110813 0.107303
0.111162 0.132166
0.111522 2.498198
0.111684 0.111684
0.111848 0.115453
0.111873 0.130298
0.112039 0.096187
0.112118 0.05834
0.112265 0.130134
0.112287 0.093931
0.112576 0.107988
0.112972 0.128431
0.113115 0.101999
0.113155 0.216242
0.113395 0.09479
0.113437 0.133838
0.113475 0.05541
0.113754 0.10817
0.113863 0.12423
0.113924 0.130476
0.114034 0.099421
0.114262 0.129498
0.114432 0.077348
0.114582 2.605604
0.11462 0.201142
0.114778 0.107751
0.114794 0.09776
0.114809 0.113029
0.114943 0.133577
0.115003 0.11439
0.115117 0.113664
0.11518 0.119332
0.115323 0.088935
0.115389 0.145568
0.115406 0.131583
0.115416 0.130558
0.115512 0.118778
0.115609 0.081694
0.115614 0.123795
0.115663 0.08465
0.115789 0.08317
0.115975 0.107443
0.116156 0.096041
0.116218 0.132894
0.116359 0.094586
0.116385 0.123463
0.116874 0.080971
0.116955 0.085811
0.117128 0.122809
0.117409 0.112629
0.117441 0.1247
0.117468 0.108886
0.117669 0.082916
0.117725 0.128059
0.117757 0.109639
0.117763 0.12086
0.118005 0.097794
0.118261 0.127703
0.11837 0.107565
0.118729 0.122429
0.119208 0.263827
0.119373 0.111649
0.119387 0.094432
0.119733 2.498181
0.119772 0.078382
0.119989 0.10492
0.120098 0.127346
0.120148 0.093401
0.120162 0.171114
0.121444 0.115451
0.121882 0.080702
0.122037 0.121018
0.122122 0.144603
0.122429 0.094106
0.122498 0.120441
0.122531 0.117727
0.12258 0.090492
0.122622 2.53259
0.122657 0.097417
0.122885 0.102944
0.12298 0.131152
0.123075 0.14864
0.123289 0.131457
0.123663 0.094595
0.123805 0.128807
0.123848 2.613699
0.123935 0.130857
0.12395 0.132201
0.123977 0.1348
0.124044 0.090173
0.124088 0.127915
0.124697 0.09432
0.124749 0.132143
0.124776 0.127126
0.124828 2.594452
0.12501 2.859336
0.125177 0.100296
0.125177 0.105425
0.125341 0.116459
0.125503 0.127815
0.125814 0.125224
0.125927 0.132931
0.125982 0.095957
0.126378 2.192186
0.126449 0.075844
0.126541 0.148397
0.126626 2.578528
0.126846 0.132102
0.126865 0.143623
0.126891 0.122971
0.126963 0.120078
0.12698 0.124077
0.127031 0.140339
0.127032 0.127468
0.127035 0.03009
0.127068 0.120448
0.127191 0.105684
0.127192 2.449685
0.127316 0.144603
0.127344 0.145361
0.12739 0.131409
0.12747 0.130611
0.127517 0.115627
0.127572 0.117974
0.127584 0.127723
0.12761 0.13308
0.127651 0.101252
0.127689 2.711799
0.127744 0.151532
0.127763 0.133718
0.12779 2.237506
0.12783 0.132052
0.127923 0.168844
0.127926 0.129498
0.127992 0.080713
0.128098 0.160462
0.12815 0.129102
0.128171 0.141775
0.1282 0.09776
0.128267 0.132003
0.128319 0.147961
0.128366 0.139118
0.128369 2.529744
0.128415 2.266863
0.128428 0.150014
0.128478 0.120934
0.128539 0.094306
0.128541 0.09003
0.128557 0.118278
0.128582 0.141108
0.128637 2.375992
0.128702 0.116078
0.128768 2.617811
0.128798 2.31323
0.128818 0.128582
0.128893 0.1311
0.128935 0.122809
0.128952 0.132405
0.128952 2.414829
0.128957 0.131263
0.128966 0.089152
0.129032 0.133155
0.129102 0.128047
0.129189 0.109748
0.129218 0.072815
0.129289 0.11111
0.129441 0.157408
0.129533 0.084779
0.129716 0.126771
0.129772 0.133588
0.129834 0.115938
0.130054 0.133538
0.130079 2.370374
0.130092 0.118033
0.130135 0.132508
0.130148 0.081598
0.130305 0.152139
0.130309 0.116086
0.13035 0.121544
0.130353 0.57718
0.130446 0.131984
0.130538 0.130169
0.130564 0.179947
0.130611 0.133954
0.130637 0.0838
0.13066 0.155873
0.130746 0.151707
0.130809 0.07962
0.130863 0.131715
0.130874 0.054964
0.130881 0.12889
0.130885 0.13377
0.130917 0.23191
0.13094 0.186972
0.13102 0.13371
0.131027 0.1292
0.13105 0.146785
0.131061 0.125769
0.13108 0.13201
0.131091 0.153347
0.1311 0.101021
0.1311 0.128509
0.131108 0.13393
0.13113 0.096327
0.131256 0.124269
0.131267 0.132262
0.131282 0.131386
0.131292 0.073141
0.131302 0.545722
0.131333 0.127723
0.131346 0.123132
0.13135 0.13226
0.131364 0.131282
0.131391 0.13158
0.131489 0.570438
0.131505 0.122531
0.131506 0.127696
0.131538 0.132128
0.131559 0.129142
0.131598 0.131969
0.131617 2.503568
0.131663 0.145098
0.131664 0.146093
0.131679 0.145479
0.131701 0.115505
0.131739 0.105251
0.131753 0.094295
0.131759 0.09218
0.131767 0.15078
0.13183 0.150553
0.131843 0.023789
0.131845 0.083397
0.131854 0.122531
0.131909 0.133857
0.131947 0.132682
0.131961 0.180887
0.131968 0.155718
0.131975 0.149534
0.131999 0.1311
0.132 0.127981
0.132009 0.14879
0.132021 0.130431
0.13203 0.13212
0.132035 0.13356
0.132067 0.113721
0.132077 0.115322
0.132096 0.180012
0.132109 0.147055
0.132111 0.130169
0.13212 0.129973
0.132131 0.115886
0.13215 0.133359
0.132155 0.148576
0.132181 0.119332
0.132191 0.237835
0.132232 0.139321
0.132234 0.093498
0.132256 0.059894
0.13226 0.132548
0.132279 0.129478
0.13232 0.096571
0.132329 0.099099
0.132334 0.132334
0.132352 0.137559
0.132354 0.148256
0.132386 0.13514
0.132391 0.131121
0.132474 0.132774
0.132475 0.078694
0.132476 0.137559
0.132493 0.14107
0.132493 0.132703
0.132504 0.127712
0.132509 0.129228
0.13253 0.152724
0.132539 0.145767
0.132569 0.13158
0.132578 0.150153
0.132584 0.127436
0.132587 0.132694
0.132606 0.132614
0.132621 2.368312
0.132624 0.222989
0.132634 0.134028
0.132643 0.131781
0.132651 0.13151
0.13266 0.126156
0.132664 0.131602
0.132667 0.132532
0.132682 0.131764
0.132683 0.144592
0.132687 0.106647
0.132695 2.715697
0.132703 0.090492
0.132714 0.132901
0.132815 0.097267
0.132872 0.131065
0.132908 0.140302
0.132932 0.118086
0.132941 0.130611
0.132943 0.146408
0.132968 0.128751
0.133002 2.828759
0.133009 0.125966
0.13304 0.123314
0.133054 2.504462
0.133124 0.148658
0.133144 0.096685
0.133172 0.155873
0.133198 0.148437
0.133209 0.146463
0.133234 0.178662
0.133286 0.556508
0.133289 0.131425
0.133308 0.127925
0.133325 0.132526
0.133378 0.132652
0.133441 0.100994
0.13347 0.521738
0.13348 2.325745
0.133571 0.125681
0.133681 0.154724
0.133704 0.140302
0.133798 0.130564
0.134025 2.248928
0.134285 0.123344
0.134314 0.099117
0.134388 0.034084
0.1348 0.13302
0.134937 0.142314
0.135301 0.131651
0.135777 0.131787
0.136735 0.128714
0.136953 0.115275
0.137634 0.13371
0.137713 0.126637
0.137851 0.129271
0.138125 0.113518
0.138226 0.132908
0.138432 0.132041
0.138501 0.127371
0.138661 0.171365
0.138686 0.132523
0.138859 0.17629
0.138911 0.133359
0.13919 0.125873
0.13919 0.079676
0.139464 0.160374
0.139695 0.103816
0.13974 2.667666
0.139783 0.121154
0.139785 0.166281
0.139799 0.132694
0.139905 0.165761
0.139922 0.134959
0.140337 2.468437
0.140338 0.151648
0.140503 0.134391
0.14054 0.159445
0.140656 0.131316
0.141845 0.153927
0.142066 0.194875
0.142098 2.167724
0.142154 0.147418
0.142231 2.380715
0.14322 0.51621
0.143872 0.163478
0.14413 0.158205
0.144135 0.137481
0.144304 0.131391
0.144467 0.164898
0.144543 0.187944
0.144652 0.144652
0.144718 0.121746
0.144726 0.126171
0.14473 2.541746
0.144824 0.145101
0.14487 0.156512
0.145179 0.149608
0.14524 0.147588
0.145447 0.18149
0.145533 0.13182
0.145653 0.112535
0.145684 2.390482
0.14576 0.130135
0.145889 0.2097
0.146101 0.182279
0.146131 0.146083
