zphoto zspec COR_val
0.433096 0.333728 -0.09936799999999996
0.526002 0.333903 -0.19209899999999996
0.453778 0.334585 -0.119193
0.437657 0.334843 -0.10281400000000002
0.469958 0.335013 -0.13494499999999998
0.442072 0.335231 -0.10684100000000002
0.499066 0.335825 -0.16324100000000002
0.457777 0.33595 -0.12182699999999996
0.476883 0.336328 -0.14055499999999999
0.517521 0.336892 -0.18062899999999998
0.46837 0.338021 -0.130349
0.447442 0.338152 -0.10929
0.428754 0.338273 -0.09048100000000003
0.477172 0.338428 -0.13874399999999998
0.499179 0.338694 -0.160485
0.482771 0.338697 -0.14407399999999998
0.428304 0.338863 -0.08944099999999999
0.500796 0.339052 -0.161744
0.538699 0.339531 -0.199168
0.262968 0.339641 0.07667300000000005
0.518695 0.340024 -0.17867100000000002
0.468505 0.340044 -0.128461
0.478504 0.340141 -0.13836299999999996
0.49123 0.340575 -0.15065499999999998
0.456799 0.340975 -0.11582400000000004
0.46974 0.341131 -0.12860899999999997
0.262692 0.341878 0.07918600000000003
0.440914 0.342099 -0.09881499999999999
0.23584 0.343001 0.107161
0.263844 0.343784 0.07993999999999996
0.229135 0.34392 0.114785
0.490136 0.344288 -0.14584800000000003
0.438082 0.344515 -0.09356700000000001
0.492908 0.344559 -0.148349
0.44718 0.344924 -0.10225600000000001
0.494013 0.345115 -0.14889799999999997
0.225415 0.345762 0.12034700000000001
0.515277 0.346251 -0.169026
0.435347 0.34663 -0.08871699999999999
0.47436 0.346879 -0.127481
0.434774 0.347621 -0.08715299999999998
0.505269 0.347649 -0.15761999999999998
0.524752 0.347938 -0.17681399999999997
0.449352 0.347997 -0.10135499999999997
0.451291 0.348251 -0.10304000000000002
0.457515 0.348363 -0.10915200000000003
0.495739 0.348548 -0.14719099999999996
0.438835 0.34897 -0.08986499999999997
0.50554 0.349346 -0.156194
0.47896 0.349739 -0.12922099999999997
0.524911 0.349769 -0.17514200000000002
0.479868 0.349824 -0.130044
0.470308 0.350185 -0.12012299999999998
0.52324 0.350956 -0.17228400000000005
0.45469 0.350973 -0.103717
0.465141 0.352511 -0.11263000000000001
0.441859 0.353163 -0.088696
0.464744 0.353279 -0.11146499999999998
0.45082 0.35347 -0.09734999999999999
0.257917 0.354221 0.096304
0.45848 0.354255 -0.10422500000000001
0.513988 0.354467 -0.15952100000000002
0.494412 0.354626 -0.13978600000000002
0.492908 0.355128 -0.13778
0.497029 0.355497 -0.141532
0.270128 0.355841 0.08571300000000004
0.46385 0.356129 -0.10772100000000001
