zphoto zspec
0.532352 0.203293
0.125596 0.203844
2.557238 0.204258
2.496829 0.204408
0.485257 0.205773
2.955177 0.20635
0.54552 0.206447
0.09446 0.206549
0.51414 0.206639
0.527773 0.206664
0.125596 0.206995
0.535117 0.207288
0.132404 0.207312
0.130448 0.207657
0.543594 0.207858
0.508926 0.208952
0.130134 0.209513
0.528262 0.210232
3.001737 0.21026
0.295205 0.210468
2.821513 0.210685
2.487298 0.211246
2.310374 0.211344
0.50486 0.212153
2.652535 0.212282
2.481479 0.212488
2.792296 0.212495
0.298935 0.213301
0.295766 0.213303
0.510855 0.214441
0.132345 0.214658
0.292787 0.214769
2.5232 0.217208
0.573238 0.219005
0.562227 0.21902
0.510718 0.219879
0.304449 0.220889
0.334182 0.221249
2.854929 0.221686
2.868444 0.221871
2.937344 0.222636
3.000438 0.222636
0.146119 0.22295
1.784629 0.223317
0.499364 0.223704
0.504771 0.223941
2.453108 0.224905
2.669464 0.226433
0.522101 0.226793
0.519813 0.230289
0.330036 0.231291
0.531402 0.232692
0.532552 0.233809
0.534829 0.234712
0.558171 0.234732
0.533205 0.235041
2.766429 0.23543
0.575891 0.235531
0.538765 0.235815
0.494917 0.23757
0.348186 0.238903
0.509399 0.240105
0.455816 0.241493
2.775637 0.242313
0.521847 0.242671
0.584367 0.242695
0.330977 0.242793
2.977511 0.243488
0.522467 0.243515
0.544885 0.244461
3.08713 0.245381
0.094651 0.246139
2.386515 0.246571
0.33534 0.246719
3.150194 0.247549
0.088275 0.24886
0.347383 0.249083
2.624542 0.249107
2.324944 0.249869
0.498985 0.25013
0.500711 0.251695
0.492821 0.251696
0.488069 0.251724
0.516608 0.252164
2.925706 0.252184
0.167664 0.252557
0.539479 0.25256
0.52691 0.252903
2.663601 0.252985
0.500773 0.253047
2.711717 0.25312
0.359651 0.253489
0.528503 0.253567
0.556508 0.253651
0.507921 0.254479
2.980433 0.254795
0.539479 0.254886
0.491995 0.254902
0.566781 0.254984
0.117727 0.256475
0.465938 0.256708
0.179329 0.257105
0.361318 0.257114
0.384219 0.257808
0.524555 0.258218
0.471821 0.258269
0.34434 0.258619
2.455262 0.258814
0.359276 0.258851
0.527755 0.259038
0.439245 0.259524
0.513068 0.25968
0.513962 0.260035
0.575891 0.260145
0.568203 0.260325
0.515254 0.260443
0.086384 0.260768
0.462022 0.261077
2.75624 0.261159
0.348053 0.261174
0.351123 0.261649
0.348015 0.261704
2.548509 0.261888
0.187567 0.26208
0.346948 0.262265
0.363782 0.262294
0.46515 0.262614
2.925053 0.263028
0.541193 0.263557
0.494748 0.263656
0.447144 0.263962
0.531402 0.264258
0.498341 0.264513
0.468364 0.264759
0.465774 0.265281
0.473337 0.265833
0.132325 0.266535
0.352287 0.266704
0.523199 0.267398
2.643095 0.267523
0.437615 0.268106
0.146119 0.269138
0.386426 0.269415
2.657683 0.270074
0.38673 0.270324
0.478802 0.270561
0.385106 0.270665
0.476155 0.270666
0.53344 0.270712
3.136888 0.271649
0.196754 0.271912
0.541193 0.274011
0.200251 0.274012
2.547835 0.274383
0.378146 0.274498
0.524555 0.274526
0.36527 0.274835
0.55998 0.274878
0.487927 0.275017
0.453863 0.275165
0.443954 0.275308
0.468649 0.275314
0.364299 0.275958
0.518457 0.276433
0.52691 0.276834
0.517222 0.277071
0.370406 0.277151
0.532163 0.277259
0.371881 0.277478
0.506286 0.278298
0.36179 0.278702
0.491995 0.278741
0.478047 0.279312
0.505871 0.279354
0.384907 0.279381
0.418583 0.279582
2.980433 0.279702
0.203869 0.279786
0.469555 0.280468
0.418175 0.280626
0.548035 0.280723
0.53466 0.280868
0.563084 0.281057
0.473817 0.281939
0.568203 0.281996
0.187309 0.282104
0.562743 0.282503
0.402671 0.282746
0.498767 0.283409
0.515372 0.283448
0.507985 0.283698
0.37913 0.283887
0.447994 0.284092
0.377642 0.284383
0.519813 0.284588
0.374785 0.28459
0.474819 0.284805
0.198889 0.284855
0.512772 0.284988
0.491683 0.285182
0.50554 0.28544
0.169361 0.285901
0.489177 0.285919
0.368891 0.285948
0.510855 0.286016
0.494663 0.28606
0.458622 0.287354
3.03834 0.287405
0.441682 0.287735
0.370731 0.28777
0.452552 0.287918
0.498767 0.288936
0.501401 0.28905
0.214317 0.29011
0.090215 0.290133
0.470759 0.290732
0.374969 0.291176
0.566572 0.291212
0.411618 0.29207
0.386935 0.292227
0.381472 0.292392
0.161167 0.292428
0.523657 0.292792
0.50268 0.292812
0.441621 0.293039
0.381288 0.293501
0.383138 0.294275
0.209818 0.294975
0.203681 0.294998
0.434007 0.295112
0.506752 0.295354
0.407338 0.295523
0.536871 0.295749
0.441859 0.296116
0.417204 0.296797
0.490224 0.296871
0.384408 0.297387
0.471948 0.297706
0.44053 0.29875
0.452703 0.299523
0.398465 0.300742
2.900064 0.301143
0.463634 0.301429
0.524725 0.30219
0.48051 0.302301
0.520002 0.302394
0.562743 0.302771
0.501092 0.303249
0.425757 0.303289
0.48051 0.303661
0.399953 0.304199
0.484643 0.304231
0.467038 0.304268
0.229135 0.30436
0.216667 0.304589
0.230138 0.304617
0.422327 0.305569
0.49319 0.305591
0.468649 0.305837
0.526146 0.306075
0.214575 0.306533
0.223373 0.306911
3.056584 0.30734
0.576963 0.307457
0.522614 0.307789
